1. (MBI) Me siento emocionalmente defraudado en mi trabajo.	2. (MBI) Cuando termino mi jornada de trabajo me siento agotado.	3. (MBI) Cuando me levanto por la mañana y me enfrento a otra jornada de trabajo me siento agotado.	4. (MBI) Siento que puedo entender fácilmente a las personas que tengo que atender.	"5. (MBI) Siento que estoy tratando a algunos beneficiados de mí, como si fuesen objetos 
impersonales."	6. (MBI) Siento que trabajar todo el día con la gente me cansa.	7. (MBI) Siento que trato con mucha efectividad los problemas de las personas a las que tengo que atender.	8. (MBI) Siento que mi trabajo me está desgastando.	"9. (MBI) Siento que estoy influyendo positivamente en las vidas de otras personas a través 
de mi trabajo."	10. (MBI) Siento que me he hecho más duro con la gente.	11. (MBI) Me preocupa que este trabajo me está endureciendo emocionalmente.	12. (MBI) Me siento muy enérgico en mi trabajo.	13. (MBI) Me siento frustrado por el trabajo.	14. (MBI) Siento que estoy demasiado tiempo en mi trabajo.	15. (MBI) Siento que realmente no me importa lo que les ocurra a las personas a las que tengo que atender profesionalmente.	16. (MBI) Siento que trabajar en contacto directo con la gente me cansa.	17. (MBI) Siento que puedo crear con facilidad un clima agradable en mi trabajo.	18. (MBI) Me siento estimulado después de haber trabajado íntimamente con quienes tengo que atender.	19. (MBI) Creo que consigo muchas cosas valiosas en este trabajo.	 20. (MBI) Me siento como si estuviera al límite de mis posibilidades.	21. (MBI) Siento que en mi trabajo los problemas emocionales son tratados de forma adecuada.	22. (MBI) Me parece que los beneficiarios de mi trabajo me culpan de algunos problemas.	23. (UWES-9) En mi trabajo me siento lleno de energía.	24. (UWES-9) Me siento con fuerza en mi trabajo.	25. (UWES-9) Estoy ilusionado con mi trabajo.	26. (UWES-9) Mi trabajo me inspira.	27. (UWES-9) Cuando me levanto por las mañanas tengo ganas de ir a trabajar.	28. (UWES-9) Estoy feliz cuando trabajo con intensidad.	29. (UWES-9) Estoy orgulloso de lo que hago.	30. (UWES-9) Estoy inmerso en mi trabajo.	31. (UWES-9) Me dejo llevar por el trabajo.	32. ¿Cuántas tareas críticas manejas simultáneamente (tareas pendientes a la vez)? (0=nada, 10=críticas)	33. ¿Qué exposición a las pantallas tienes en el trabajo? (0=muy poco, 10=excesiva)	34. ¿Cómo describiría la calidad de su sueño (en cuanto a horas dormidas y lo reparador que fuera)? (0=insuficiente, 10=excelente)	35. ¿Dispones de Pausas Activas en el Trabajo? (0=nulas, 10=muchas)	36. ¿Cómo describirías tu Entorno de Trabajo? (0=hostil, 10=muy colaborativo)
1	4	4	4	1	1	5	1	4	3	1	5	1	1	1	1	5	5	5	1	4	1	6	6	6	6	6	5	6	6	0					
1	3	3	5	1	2	5	2	5	1	1	4	3	2	1	3	5	3	5	2	5	1	5	3	5	5	3	0	6	5	0					
4	5	4	5	1	4	5	5	5	5	3	3	5	5	4	5	1	2	2	5	2	2	0	0	0	0	0	0	0	6	6					
3	4	1	5	1	4	4	3	4	3	1	4	3	4	1	4	4	4	5	3	3	3	5	6	6	6	5	5	5	6	5					
3	4	4	5	3	3	3	4	4	1	4	4	3	3	1	4	5	3	3	4	1	4	3	5	1	5	0	0	6	6	6					
2	3	1	5	5	2	5	2	1	5	1	5	1	2	2	1	5	5	5	5	5	3	6	6	6	6	6	6	6	6	3					
2	4	4	1	1	5	5	5	1	5	1	1	1	1	5	5	5	1	2	1	5	1	0	0	0	0	0	0	6	6	0					
1	3	2	5	1	1	5	1	5	1	1	5	1	1	1	1	5	3	5	1	5	1	6	6	6	6	6	6	6	6	6					
5	5	5	4	4	1	2	5	1	4	4	1	5	1	4	3	4	1	1	1	1	5	5	0	0	0	0	0	0	0	0					
4	3	4	3	4	3	3	4	3	3	3	3	4	2	3	3	3	3	3	4	2	3	2	2	2	2	1	1	2	2	3					
3	4	4	4	2	4	5	4	5	4	3	3	4	4	1	4	4	4	4	3	2	2	3	3	3	3	1	1	5	5	5					
3	4	3	4	4	5	4	3	4	5	5	5	2	1	1	4	4	4	3	3	4	2	5	5	4	4	4	4	6	5	6					
4	5	5	4	4	4	4	5	5	5	5	4	4	5	2	5	5	4	5	4	1	5	3	3	3	5	3	3	6	6	5					
1	5	2	2	1	2	2	5	2	5	3	5	5	4	1	5	5	5	5	1	2	5	6	6	6	6	6	6	6	6	6					
1	2	2	5	1	2	5	3	5	2	1	4	1	2	2	2	5	5	4	2	3	2	5	5	5	5	1	2	4	5	3					
3	3	4	5	1	3	5	3	5	1	1	4	2	3	1	3	5	4	4	1	4	2	5	5	5	2	1	1	6	6	5					
4	4	3	5	3	3	4	4	5	3	4	3	3	4	3	4	4	5	5	4	1	3	5	5	6	6	4	4	6	5	5					
3	2	2	4	1	2	5	3	4	4	1	4	3	5	4	2	5	3	2	1	2	2	5	5	1	0	0	1	1	5	5					
2	4	2	4	3	4	5	1	5	4	3	5	2	1	3	5	3	4	5	1	3	3	6	6	6	6	5	6	6	6	5					
1	2	1	5	1	1	5	1	5	1	1	5	1	1	1	1	5	5	5	1	5	1	6	6	6	6	6	6	6	6	0					
1	2	2	5	1	1	3	1	1	2	2	5	2	2	1	2	5	3	5	1	5	2	3	3	1	3	3	3	6	3	0					
3	3	3	5	2	2	5	4	4	3	3	4	3	3	2	2	4	5	4	3	4	2	6	6	5	5	6	5	6	6	6					
4	4	4	5	2	2	5	4	5	3	3	4	2	4	1	2	4	3	3	3	5	2	5	5	5	5	6	6	5	6	6					
3	3	4	5	5	5	3	3	5	1	4	3	4	3	1	3	4	4	2	4	2	4	4	4	3	3	5	5	5	4	2					
2	2	2	4	1	2	4	2	4	2	2	4	2	2	1	2	4	2	3	2	2	2	5	5	5	1	5	1	5	5	5					
2	4	3	5	1	2	4	3	5	4	4	4	3	3	1	2	3	4	5	2	1	3	5	6	6	6	5	5	5	6	6					
2	5	2	5	4	5	5	5	4	5	5	4	4	3	3	5	4	4	4	4	3	3	3	4	3	3	3	3	3	3	3					
4	4	4	5	1	4	4	4	5	4	5	4	5	5	1	5	4	4	4	3	5	1	3	5	5	5	1	0	6	6	6					
5	4	3	1	2	1	5	4	5	1	1	5	2	5	1	1	5	5	5	1	5	4	6	6	6	6	6	5	6	6	5					
5	5	5	4	5	4	4	5	5	4	4	3	5	5	3	5	5	4	2	4	1	4	3	3	3	3	1	5	6	6	6					
2	3	2	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3					
2	3	2	5	1	2	5	2	5	2	2	5	2	4	1	3	5	4	5	3	5	2	6	6	6	6	5	5	6	6	5					
2	2	2	5	1	2	5	2	4	2	2	5	2	2	1	2	5	4	4	1	2	2	5	5	5	5	5	5	6	5	5					
3	4	5	5	1	4	3	5	5	4	4	2	5	5	3	4	3	4	3	5	3	3	2	2	3	3	3	3	2	5	4					
4	4	4	5	1	2	5	4	3	2	2	4	4	5	1	1	5	5	4	1	5	3	5	4	2	3	4	6	4	4	4					
2	4	2	5	1	4	3	3	5	5	1	4	2	2	1	2	4	2	4	1	2	2	3	3	5	5	6	3	3	3	3					
4	4	3	2	2	5	5	1	3	1	1	5	5	5	1	1	5	3	3	2	4	3	6	6	6	6	0	3	6	0	0					
2	4	4	5	1	3	4	3	5	2	1	4	3	4	1	2	5	5	4	3	3	3	5	6	6	6	6	5	6	5	3					
2	3	3	5	3	5	5	4	4	5	4	4	4	5	3	5	5	3	2	2	5	2	3	5	1	1	1	1	1	3	5					
1	3	2	5	1	2	5	2	5	1	1	5	1	1	1	2	5	5	5	2	4	1	6	6	6	6	5	5	6	6	6					
3	4	4	4	1	3	3	3	3	3	3	3	3	4	3	3	3	4	3	3	2	3	3	5	5	5	5	5	5	6	6					
4	4	4	3	1	4	4	5	4	3	2	3	4	4	1	4	3	3	3	4	1	4	3	3	3	3	1	1	3	5	5					
3	5	4	5	1	3	4	4	3	5	2	4	4	4	1	4	5	5	4	1	3	1	2	1	3	2	3	4	6	4	2					
5	5	5	4	3	4	5	5	4	3	5	3	4	5	1	1	3	3	3	4	2	2	3	2	3	3	0	1	6	6	5					
2	4	3	5	1	2	4	3	5	3	2	4	2	4	1	3	4	4	5	2	4	1	5	5	6	5	4	4	6	4	4					
4	4	5	5	1	4	5	5	4	3	3	3	3	4	3	3	5	5	4	3	1	2	5	5	5	5	5	5	6	6	3					
4	5	5	5	1	5	4	5	5	3	1	5	3	5	1	4	5	3	5	5	1	1	5	5	1	1	0	0	6	3	3					
3	4	4	5	1	2	5	3	5	5	1	4	3	3	3	3	5	5	5	3	3	1	5	5	5	5	0	6	6	6	5					
3	5	5	5	1	3	4	4	5	3	3	3	3	5	1	3	5	5	3	3	1	3	4	4	5	5	5	5	6	6	6					
3	4	2	5	1	2	5	4	5	2	2	5	2	4	1	4	5	5	5	5	1	3	5	5	6	6	6	0	6	6	5					
4	5	4	4	4	5	4	4	4	5	5	3	4	4	2	4	3	3	3	3	1	3	3	3	3	5	3	1	5	5	5					
2	2	2	5	1	3	4	2	5	2	2	2	2	5	1	4	4	4	4	2	2	2	5	5	5	5	5	0	6	6	0					
4	4	4	3	2	4	3	5	3	5	4	3	4	5	4	4	3	3	3	5	1	2	4	3	3	3	2	3	3	6	6					
1	3	3	5	1	2	5	1	2	1	1	2	2	1	1	2	5	4	5	2	2	1	5	5	6	6	6	5	6	5	5					
